"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence"
"1","6736017e076d3440b572571d","control_Dissimilar","0","DissimilarControl","begin","end","begin-end","",""
"2","6736017e076d3440b572571d","control_Similar","99","SimilarControl","begin","start","begin-start","",""
"3","6736017e076d3440b572571d","control_MaxMatch_Negative_Verb","0","MaxMatch","befall","obsess","befall-obsess","VerbMatch","NegativeMatch"
"4","6736017e076d3440b572571d","control_Dissimilar","0","DissimilarControl","push","pull","push-pull","",""
"5","6736017e076d3440b572571d","control_MaxMatch_Positive_Verb","1","MaxMatch","enlighten","fulfill","enlighten-fulfill","VerbMatch","PositiveMatch"
"6","6736017e076d3440b572571d","test_ValenceMatch_Negative","0","ValenceMatchingOnly","fester","failure","fester-failure","VerbMismatch","NegativeMatch"
"7","6736017e076d3440b572571d","test_ConceptualMatch_Verb","0","ConceptualMatchingOnly","admire","running","admire-running","ConceptualMatch:verb","PositiveMismatch"
"8","6736017e076d3440b572571d","test_ValenceMatch_Positive","0","ValenceMatchingOnly","gratitude","imagine","gratitude-imagine","NounMismatch","PositiveMatch"
"9","6736017e076d3440b572571d","test_ConceptualMatch_Noun","0","ConceptualMatchingOnly","gratitude","fireplace","gratitude-fireplace","ConceptualMatch:noun","PositiveMismatch"
"10","6736017e076d3440b572571d","control_MaxMismatch","0","MaxMismatch","fulfill","glisten","fulfill-glisten","VerbMismatch","PositiveMismatch"
"11","6736017e076d3440b572571d","control_MaxMatch_Negative_Noun","0","MaxMatch","toxin","mud","toxin-mud","NounMatch","NegativeMatch"
"12","6736017e076d3440b572571d","control_Similar","99","SimilarControl","show","display","show-display","",""
"13","6736017e076d3440b572571d","control_MaxMatch_Positive_Noun","0","MaxMatch","freedom","inspiration","freedom-inspiration","NounMatch","PositiveMatch"
"14","6736017e076d3440b572571d","control_Dissimilar","0","DissimilarControl","rise","fall","rise-fall","",""
"15","6736017e076d3440b572571d","control_Similar","99","SimilarControl","need","require","need-require","",""
"16","6736017e076d3440b572571d","control_MaxMatch_Negative_Verb","49","MaxMatch","stab","exploit","stab-exploit","VerbMatch","NegativeMatch"
"17","6736017e076d3440b572571d","control_Dissimilar","99","DissimilarControl","come","go","come-go","",""
"18","6736017e076d3440b572571d","control_MaxMatch_Positive_Verb","77","MaxMatch","admire","imagine","admire-imagine","VerbMatch","PositiveMatch"
"19","6736017e076d3440b572571d","test_ValenceMatch_Negative","0","ValenceMatchingOnly","choke","anxiety","choke-anxiety","VerbMismatch","NegativeMatch"
"20","6736017e076d3440b572571d","test_ConceptualMatch_Verb","0","ConceptualMatchingOnly","fulfill","running","fulfill-running","ConceptualMatch:verb","PositiveMismatch"
