"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence"
"1","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","ask","inquire","ask-inquire","",""
"2","675aaec58dfc729c338a52eb","control_Dissimilar","0","DissimilarControl","give","take","give-take","",""
"3","675aaec58dfc729c338a52eb","test_ConceptualMatch_Psychological","12","ConceptualMatchingOnly","adore","embarrass","adore-embarrass","ConceptualMatch:psychological","PositiveMismatch"
"4","675aaec58dfc729c338a52eb","test_ConceptualMatch_Physical","17","ConceptualMatchingOnly","twinkle","burn","twinkle-burn","ConceptualMatch:physical","PositiveMismatch"
"5","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","show","display","show-display","",""
"6","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Physical","82","MaxMatch","slash","hit","slash-hit","ConceptualMatch:physical","NegativeMatch"
"7","675aaec58dfc729c338a52eb","test_ValenceMatch_Positive","16","ValenceMatchingOnly","cuddle","impress","cuddle-impress","ConceptualMismatch:physical","PositiveMatch"
"8","675aaec58dfc729c338a52eb","control_Dissimilar","30","DissimilarControl","come","go","come-go","",""
"9","675aaec58dfc729c338a52eb","test_ValenceMatch_Negative","23","ValenceMatchingOnly","slash","dishonor","slash-dishonor","ConceptualMismatch:physical","NegativeMatch"
"10","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Physical","14","MaxMatch","hug","produce","hug-produce","ConceptualMatch:physical","PositiveMatch"
"11","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Psychological","85","MaxMatch","appreciate","admire","appreciate-admire","ConceptualMatch:psychological","PositiveMatch"
"12","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Psychological","77","MaxMatch","dishonor","discourage","dishonor-discourage","ConceptualMatch:psychological","NegativeMatch"
"13","675aaec58dfc729c338a52eb","control_MaxMismatch","13","MaxMismatch","impress","rust","impress-rust","ConceptualMismatch:psychological","PositiveMismatch"
"14","675aaec58dfc729c338a52eb","control_Similar","60","SimilarControl","use","employ","use-employ","",""
"15","675aaec58dfc729c338a52eb","control_Dissimilar","6","DissimilarControl","begin","end","begin-end","",""
"16","675aaec58dfc729c338a52eb","test_ConceptualMatch_Psychological","12","ConceptualMatchingOnly","reassure","dishonor","reassure-dishonor","ConceptualMatch:psychological","PositiveMismatch"
"17","675aaec58dfc729c338a52eb","test_ConceptualMatch_Physical","4","ConceptualMatchingOnly","cuddle","stain","cuddle-stain","ConceptualMatch:physical","PositiveMismatch"
"18","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","buy","purchase","buy-purchase","",""
"19","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Physical","62","MaxMatch","slash","burn","slash-burn","ConceptualMatch:physical","NegativeMatch"
"20","675aaec58dfc729c338a52eb","test_ValenceMatch_Positive","59","ValenceMatchingOnly","sculpt","admire","sculpt-admire","ConceptualMismatch:physical","PositiveMatch"
"21","675aaec58dfc729c338a52eb","control_Dissimilar","0","DissimilarControl","rise","fall","rise-fall","",""
"22","675aaec58dfc729c338a52eb","test_ValenceMatch_Negative","0","ValenceMatchingOnly","rust","embarrass","rust-embarrass","ConceptualMismatch:physical","NegativeMatch"
"23","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Physical","0","MaxMatch","sculpt","twinkle","sculpt-twinkle","ConceptualMatch:physical","PositiveMatch"
"24","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Psychological","62","MaxMatch","impress","reassure","impress-reassure","ConceptualMatch:psychological","PositiveMatch"
"25","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Psychological","60","MaxMatch","irritate","dishonor","irritate-dishonor","ConceptualMatch:psychological","NegativeMatch"
"26","675aaec58dfc729c338a52eb","control_MaxMismatch","0","MaxMismatch","adore","corrode","adore-corrode","ConceptualMismatch:psychological","PositiveMismatch"
"27","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","speak","talk","speak-talk","",""
"28","675aaec58dfc729c338a52eb","control_Dissimilar","0","DissimilarControl","arrive","leave","arrive-leave","",""
"29","675aaec58dfc729c338a52eb","test_ConceptualMatch_Psychological","12","ConceptualMatchingOnly","reassure","embarrass","reassure-embarrass","ConceptualMatch:psychological","PositiveMismatch"
"30","675aaec58dfc729c338a52eb","test_ConceptualMatch_Physical","0","ConceptualMatchingOnly","cuddle","slaughter","cuddle-slaughter","ConceptualMatch:physical","PositiveMismatch"
"31","675aaec58dfc729c338a52eb","control_Similar","44","SimilarControl","begin","start","begin-start","",""
"32","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Physical","79","MaxMatch","slaughter","slash","slaughter-slash","ConceptualMatch:physical","NegativeMatch"
"33","675aaec58dfc729c338a52eb","test_ValenceMatch_Positive","23","ValenceMatchingOnly","repair","adore","repair-adore","ConceptualMismatch:physical","PositiveMatch"
"34","675aaec58dfc729c338a52eb","control_Dissimilar","45","DissimilarControl","increase","decrease","increase-decrease","",""
"35","675aaec58dfc729c338a52eb","test_ValenceMatch_Negative","17","ValenceMatchingOnly","slash","despair","slash-despair","ConceptualMismatch:physical","NegativeMatch"
"36","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Physical","15","MaxMatch","repair","caress","repair-caress","ConceptualMatch:physical","PositiveMatch"
"37","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Psychological","54","MaxMatch","encourage","cherish","encourage-cherish","ConceptualMatch:psychological","PositiveMatch"
"38","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Psychological","69","MaxMatch","offend","displease","offend-displease","ConceptualMatch:psychological","NegativeMatch"
"39","675aaec58dfc729c338a52eb","control_MaxMismatch","7","MaxMismatch","adore","stain","adore-stain","ConceptualMismatch:psychological","PositiveMismatch"
"40","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","end","finish","end-finish","",""
"41","675aaec58dfc729c338a52eb","control_Dissimilar","49","DissimilarControl","enter","exit","enter-exit","",""
"42","675aaec58dfc729c338a52eb","test_ConceptualMatch_Psychological","8","ConceptualMatchingOnly","impress","irritate","impress-irritate","ConceptualMatch:psychological","PositiveMismatch"
"43","675aaec58dfc729c338a52eb","test_ConceptualMatch_Physical","0","ConceptualMatchingOnly","caress","slash","caress-slash","ConceptualMatch:physical","PositiveMismatch"
"44","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","help","assist","help-assist","",""
"45","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Physical","75","MaxMatch","crash","burn","crash-burn","ConceptualMatch:physical","NegativeMatch"
"46","675aaec58dfc729c338a52eb","test_ValenceMatch_Positive","60","ValenceMatchingOnly","build","impress","build-impress","ConceptualMismatch:physical","PositiveMatch"
"47","675aaec58dfc729c338a52eb","control_Dissimilar","0","DissimilarControl","add","remove","add-remove","",""
"48","675aaec58dfc729c338a52eb","test_ValenceMatch_Negative","6","ValenceMatchingOnly","corrode","dread","corrode-dread","ConceptualMismatch:physical","NegativeMatch"
"49","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Physical","80","MaxMatch","build","produce","build-produce","ConceptualMatch:physical","PositiveMatch"
"50","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Psychological","71","MaxMatch","impress","cherish","impress-cherish","ConceptualMatch:psychological","PositiveMatch"
"51","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Psychological","68","MaxMatch","displease","dread","displease-dread","ConceptualMatch:psychological","NegativeMatch"
"52","675aaec58dfc729c338a52eb","control_MaxMismatch","62","MaxMismatch","impress","slash","impress-slash","ConceptualMismatch:psychological","PositiveMismatch"
"53","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","get","obtain","get-obtain","",""
"54","675aaec58dfc729c338a52eb","control_Dissimilar","47","DissimilarControl","push","pull","push-pull","",""
"55","675aaec58dfc729c338a52eb","test_ConceptualMatch_Psychological","10","ConceptualMatchingOnly","content","dismay","content-dismay","ConceptualMatch:psychological","PositiveMismatch"
"56","675aaec58dfc729c338a52eb","test_ConceptualMatch_Physical","13","ConceptualMatchingOnly","produce","delete","produce-delete","ConceptualMatch:physical","PositiveMismatch"
"57","675aaec58dfc729c338a52eb","control_Similar","99","SimilarControl","need","require","need-require","",""
"58","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Physical","66","MaxMatch","hit","stain","hit-stain","ConceptualMatch:physical","NegativeMatch"
"59","675aaec58dfc729c338a52eb","test_ValenceMatch_Positive","37","ValenceMatchingOnly","hug","impress","hug-impress","ConceptualMismatch:physical","PositiveMatch"
"60","675aaec58dfc729c338a52eb","control_Dissimilar","49","DissimilarControl","open","close","open-close","",""
"61","675aaec58dfc729c338a52eb","test_ValenceMatch_Negative","19","ValenceMatchingOnly","burn","criticize","burn-criticize","ConceptualMismatch:physical","NegativeMatch"
"62","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Physical","10","MaxMatch","cuddle","build","cuddle-build","ConceptualMatch:physical","PositiveMatch"
"63","675aaec58dfc729c338a52eb","control_MaxMatch_Positive_Psychological","64","MaxMatch","content","cherish","content-cherish","ConceptualMatch:psychological","PositiveMatch"
"64","675aaec58dfc729c338a52eb","control_MaxMatch_Negative_Psychological","69","MaxMatch","offend","discourage","offend-discourage","ConceptualMatch:psychological","NegativeMatch"
"65","675aaec58dfc729c338a52eb","control_MaxMismatch","4","MaxMismatch","cherish","hit","cherish-hit","ConceptualMismatch:psychological","PositiveMismatch"
"66","664e7baa0d6008036181a712","control_Dissimilar","0","DissimilarControl","rise","fall","rise-fall","",""
"67","664e7baa0d6008036181a712","control_Similar","99","SimilarControl","help","assist","help-assist","",""
"68","664e7baa0d6008036181a712","control_MaxMatch_Positive_Physical","0","MaxMatch","build","twinkle","build-twinkle","ConceptualMatch:physical","PositiveMatch"
