"","ID.Ibex","Label","Response","FeatureMatch","Word1","Word2","WordPair","Conceptual","Valence"
"1","5b87dd09019cf60001a115b3","control_Similar","83","SimilarControl","use","employ","use-employ","",""
"2","5b87dd09019cf60001a115b3","control_Dissimilar","99","DissimilarControl","push","pull","push-pull","",""
"3","5b87dd09019cf60001a115b3","test_ValenceMatch_Positive","0","ValenceMatchingOnly","sandwich","husband","sandwich-husband","InanimateMismatch","PositiveMatch"
"4","5b87dd09019cf60001a115b3","test_ValenceMatch_Negative","0","ValenceMatchingOnly","excrement","mugger","excrement-mugger","InanimateMismatch","NegativeMatch"
"5","5b87dd09019cf60001a115b3","control_MaxMatch_Negative_Animate","71","MaxMatch","intruder","mugger","intruder-mugger","AnimateMatch","NegativeMatch"
"6","5b87dd09019cf60001a115b3","test_ConceptualMatch_Inanimate","0","ConceptualMatchingOnly","cocaine","sunshine","cocaine-sunshine","ConceptualMatch:inanimate","NegativeMismatch"
"7","5b87dd09019cf60001a115b3","control_Similar","99","SimilarControl","help","assist","help-assist","",""
"8","5b87dd09019cf60001a115b3","control_MaxMatch_Positive_Animate","0","MaxMatch","comedian","duckling","comedian-duckling","AnimateMatch","PositiveMatch"
"9","5b87dd09019cf60001a115b3","control_Dissimilar","92","DissimilarControl","arrive","leave","arrive-leave","",""
"10","5b87dd09019cf60001a115b3","control_MaxMismatch","0","MaxMismatch","dictator","puppy","dictator-puppy","AnimateMismatch","NegativeMismatch"
"11","5b87dd09019cf60001a115b3","control_MaxMatch_Negative_Inanimate","0","MaxMatch","heroin","swastika","heroin-swastika","InanimateMatch","NegativeMatch"
"12","5b87dd09019cf60001a115b3","control_MaxMatch_Positive_Inanimate","0","MaxMatch","feast","meadow","feast-meadow","InanimateMatch","PositiveMatch"
"13","5b87dd09019cf60001a115b3","control_Similar","99","SimilarControl","show","display","show-display","",""
"14","5b87dd09019cf60001a115b3","control_Dissimilar","80","DissimilarControl","come","go","come-go","",""
