Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Group
cuddle,cuddle,physical-positive,physical-positive,SelfPair,A
build,build,physical-positive,physical-positive,SelfPair,B
repair,repair,physical-positive,physical-positive,SelfPair,C
caress,caress,physical-positive,physical-positive,SelfPair,D
hug,hug,physical-positive,physical-positive,SelfPair,E
produce,produce,physical-positive,physical-positive,SelfPair,F
sculpt,sculpt,physical-positive,physical-positive,SelfPair,G
twinkle,twinkle,physical-positive,physical-positive,SelfPair,H
decorate,decorate,physical-positive,physical-positive,SelfPair,I
clean,clean,physical-positive,physical-positive,SelfPair,J
content,content,psychological-positive,psychological-positive,SelfPair,AA
encourage,encourage,psychological-positive,psychological-positive,SelfPair,BB
appreciate,appreciate,psychological-positive,psychological-positive,SelfPair,CC
impress,impress,psychological-positive,psychological-positive,SelfPair,DD
like,like,psychological-positive,psychological-positive,SelfPair,EE
reassure,reassure,psychological-positive,psychological-positive,SelfPair,FF
respect,respect,psychological-positive,psychological-positive,SelfPair,GG
admire,admire,psychological-positive,psychological-positive,SelfPair,HH
adore,adore,psychological-positive,psychological-positive,SelfPair,II
cherish,cherish,psychological-positive,psychological-positive,SelfPair,JJ
rust,rust,physical-negative,physical-negative,SelfPair,AAA
slaughter,slaughter,physical-negative,physical-negative,SelfPair,BBB
slash,slash,physical-negative,physical-negative,SelfPair,CCC
crash,crash,physical-negative,physical-negative,SelfPair,DDD
tear,tear,physical-negative,physical-negative,SelfPair,EEE
burn,burn,physical-negative,physical-negative,SelfPair,FFF
hit,hit,physical-negative,physical-negative,SelfPair,GGG
stain,stain,physical-negative,physical-negative,SelfPair,HHH
delete,delete,physical-negative,physical-negative,SelfPair,III
corrode,corrode,physical-negative,physical-negative,SelfPair,JJJ
offend,offend,psychological-negative,psychological-negative,SelfPair,AAAA
despair,despair,psychological-negative,psychological-negative,SelfPair,BBBB
irritate,irritate,psychological-negative,psychological-negative,SelfPair,CCCC
displease,displease,psychological-negative,psychological-negative,SelfPair,DDDD
dishonor,dishonor,psychological-negative,psychological-negative,SelfPair,EEEE
embarrass,embarrass,psychological-negative,psychological-negative,SelfPair,FFFF
discourage,discourage,psychological-negative,psychological-negative,SelfPair,GGGG
dismay,dismay,psychological-negative,psychological-negative,SelfPair,HHHH
criticize,criticize,psychological-negative,psychological-negative,SelfPair,IIII
dread,dread,psychological-negative,psychological-negative,SelfPair,JJJJ
