,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
95,smelly,decorative,physical-negative,physical-positive,ConceptualMatchingOnly
30,comatose,fluffy,physical-negative,physical-positive,ConceptualMatchingOnly
158,hilarious,infuriating,social-positive,social-negative,ConceptualMatchingOnly
115,joyful,dreaded,social-positive,social-negative,ConceptualMatchingOnly
69,rancid,newborn,physical-negative,physical-positive,ConceptualMatchingOnly
170,dependable,insulting,social-positive,social-negative,ConceptualMatchingOnly
182,courageous,grumpy,social-positive,social-negative,ConceptualMatchingOnly
78,seasick,radiant,physical-negative,physical-positive,ConceptualMatchingOnly
56,lifeless,nutritious,physical-negative,physical-positive,ConceptualMatchingOnly
82,itchy,blooming,physical-negative,physical-positive,ConceptualMatchingOnly
101,sunny,oceanic,physical-positive,physical-positive,MaxMatch
92,fluffy,floral,physical-positive,physical-positive,MaxMatch
17,excruciating,comatose,physical-negative,physical-negative,MaxMatch
79,carefree,witty,social-positive,social-positive,MaxMatch
150,greedy,infuriating,social-negative,social-negative,MaxMatch
67,cheerful,courageous,social-positive,social-positive,MaxMatch
80,hilarious,selfless,social-positive,social-positive,MaxMatch
162,heartbroken,stingy,social-negative,social-negative,MaxMatch
0,moldy,nauseous,physical-negative,physical-negative,MaxMatch
38,lifeless,smelly,physical-negative,physical-negative,MaxMatch
135,floral,dreaded,physical-positive,social-negative,MaxMismatch
73,seasick,easygoing,physical-negative,social-positive,MaxMismatch
157,decorative,stingy,physical-positive,social-negative,MaxMismatch
28,excruciating,courageous,physical-negative,social-positive,MaxMismatch
54,lifeless,carefree,physical-negative,social-positive,MaxMismatch
114,sunny,racist,physical-positive,social-negative,MaxMismatch
180,radiant,insulting,physical-positive,social-negative,MaxMismatch
9,moldy,witty,physical-negative,social-positive,MaxMismatch
35,comatose,hilarious,physical-negative,social-positive,MaxMismatch
47,obese,dependable,physical-negative,social-positive,MaxMismatch
5,lifeless,lifeless,physical-negative,physical-negative,SelfPair
13,easygoing,easygoing,social-positive,social-positive,SelfPair
7,seasick,seasick,physical-negative,physical-negative,SelfPair
0,moldy,moldy,physical-negative,physical-negative,SelfPair
37,stingy,stingy,social-negative,social-negative,SelfPair
20,fluffy,fluffy,physical-positive,physical-positive,SelfPair
9,smelly,smelly,physical-negative,physical-negative,SelfPair
19,witty,witty,social-positive,social-positive,SelfPair
35,dreaded,dreaded,social-negative,social-negative,SelfPair
39,hateful,hateful,social-negative,social-negative,SelfPair
123,cheerful,floral,social-positive,physical-positive,ValenceMatchingOnly
37,comatose,stingy,physical-negative,social-negative,ValenceMatchingOnly
4,moldy,racist,physical-negative,social-negative,ValenceMatchingOnly
138,easygoing,radiant,social-positive,physical-positive,ValenceMatchingOnly
145,carefree,decorative,social-positive,physical-positive,ValenceMatchingOnly
177,dependable,homemade,social-positive,physical-positive,ValenceMatchingOnly
90,smelly,insulting,physical-negative,social-negative,ValenceMatchingOnly
83,itchy,heartbroken,physical-negative,social-negative,ValenceMatchingOnly
110,joyful,fluffy,social-positive,physical-positive,ValenceMatchingOnly
169,selfless,newborn,social-positive,physical-positive,ValenceMatchingOnly
