,Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
95,clean,burn,physical-positive,physical-negative,ConceptualMatchingOnly
30,caress,rust,physical-positive,physical-negative,ConceptualMatchingOnly
158,reassure,criticize,psychological-positive,psychological-negative,ConceptualMatchingOnly
115,encourage,embarrass,psychological-positive,psychological-negative,ConceptualMatchingOnly
69,sculpt,corrode,physical-positive,physical-negative,ConceptualMatchingOnly
170,admire,offend,psychological-positive,psychological-negative,ConceptualMatchingOnly
182,adore,irritate,psychological-positive,psychological-negative,ConceptualMatchingOnly
78,twinkle,delete,physical-positive,physical-negative,ConceptualMatchingOnly
56,produce,hit,physical-positive,physical-negative,ConceptualMatchingOnly
82,decorate,slash,physical-positive,physical-negative,ConceptualMatchingOnly
101,slaughter,tear,physical-negative,physical-negative,MaxMatch
92,rust,crash,physical-negative,physical-negative,MaxMatch
17,repair,caress,physical-positive,physical-positive,MaxMatch
79,like,cherish,psychological-positive,psychological-positive,MaxMatch
150,despair,criticize,psychological-negative,psychological-negative,MaxMatch
67,appreciate,adore,psychological-positive,psychological-positive,MaxMatch
80,reassure,respect,psychological-positive,psychological-positive,MaxMatch
162,displease,dismay,psychological-negative,psychological-negative,MaxMatch
0,cuddle,build,physical-positive,physical-positive,MaxMatch
38,produce,clean,physical-positive,physical-positive,MaxMatch
135,impress,burn,psychological-positive,physical-negative,MaxMismatch
73,twinkle,displease,physical-positive,psychological-negative,MaxMismatch
157,reassure,stain,psychological-positive,physical-negative,MaxMismatch
28,repair,criticize,physical-positive,psychological-negative,MaxMismatch
54,produce,dishonor,physical-positive,psychological-negative,MaxMismatch
114,encourage,tear,psychological-positive,physical-negative,MaxMismatch
180,adore,rust,psychological-positive,physical-negative,MaxMismatch
9,cuddle,dread,physical-positive,psychological-negative,MaxMismatch
35,caress,embarrass,physical-positive,psychological-negative,MaxMismatch
47,hug,dismay,physical-positive,psychological-negative,MaxMismatch
5,produce,produce,physical-positive,physical-positive,SelfPair
13,impress,impress,psychological-positive,psychological-positive,SelfPair
7,twinkle,twinkle,physical-positive,physical-positive,SelfPair
0,cuddle,cuddle,physical-positive,physical-positive,SelfPair
37,dismay,dismay,psychological-negative,psychological-negative,SelfPair
20,rust,rust,physical-negative,physical-negative,SelfPair
9,clean,clean,physical-positive,physical-positive,SelfPair
19,cherish,cherish,psychological-positive,psychological-positive,SelfPair
35,embarrass,embarrass,psychological-negative,psychological-negative,SelfPair
39,dread,dread,psychological-negative,psychological-negative,SelfPair
123,slash,displease,physical-negative,psychological-negative,ValenceMatchingOnly
37,caress,admire,physical-positive,psychological-positive,ValenceMatchingOnly
4,cuddle,like,physical-positive,psychological-positive,ValenceMatchingOnly
138,crash,criticize,physical-negative,psychological-negative,ValenceMatchingOnly
145,tear,embarrass,physical-negative,psychological-negative,ValenceMatchingOnly
177,stain,dismay,physical-negative,psychological-negative,ValenceMatchingOnly
90,clean,content,physical-positive,psychological-positive,ValenceMatchingOnly
83,decorate,impress,physical-positive,psychological-positive,ValenceMatchingOnly
110,slaughter,offend,physical-negative,psychological-negative,ValenceMatchingOnly
169,hit,dread,physical-negative,psychological-negative,ValenceMatchingOnly
